TimeStamp;FrequencyInvert1(Hz);VoltageInvert1(V);CurrentInvert1(A);ActivePowerInvert1(W);ReactivePowerInvert1(VAr);FrequencyInvert2(Hz);VoltageInvert2(V);CurrentInvert2(A);ActivePowerInvert2(W);ReactivePowerInvert2(VAr)
2021_05_08 03:44:39;50,07;223,41;0,13;-0,00;0,03;50,07;224,65;0,13;-0,00;0,03
2021_05_08 03:44:44;50,09;223,51;0,13;-0,00;0,03;50,09;224,67;0,13;-0,00;0,03
2021_05_08 03:44:49;50,10;223,54;0,13;-0,00;0,03;50,10;224,74;0,13;-0,00;0,03
2021_05_08 03:44:54;50,08;223,53;0,13;-0,00;0,03;50,08;224,76;0,13;-0,00;0,03
2021_05_08 03:44:59;50,06;223,43;0,13;-0,00;0,03;50,06;224,65;0,13;-0,00;0,03
2021_05_08 03:45:04;50,05;223,49;0,13;-0,00;0,03;50,05;224,73;0,13;-0,00;0,03
2021_05_08 03:45:09;50,04;223,43;0,13;-0,00;0,03;50,04;224,67;0,13;-0,00;0,03
2021_05_08 03:45:14;50,06;223,45;0,13;-0,00;0,03;50,06;224,68;0,13;-0,00;0,03
2021_05_08 03:45:19;50,07;223,44;0,13;-0,00;0,03;50,07;224,64;0,13;-0,00;0,03
2021_05_08 03:45:24;50,05;223,61;0,13;-0,00;0,03;50,05;224,79;0,13;-0,00;0,03
2021_05_08 03:45:29;50,06;223,72;0,13;-0,00;0,03;50,06;224,93;0,13;-0,00;0,03
2021_05_08 03:45:34;50,07;223,52;0,13;-0,00;0,03;50,07;224,70;0,13;-0,00;0,03
2021_05_08 03:45:39;50,08;223,35;0,13;-0,00;0,03;50,08;224,60;0,13;-0,00;0,03
2021_05_08 03:45:44;50,05;223,42;0,13;-0,00;0,03;50,05;224,67;0,13;-0,00;0,03
2021_05_08 03:45:49;50,06;223,41;0,13;-0,00;0,03;50,06;224,67;0,13;-0,00;0,03
2021_05_08 03:45:54;50,06;223,38;0,13;-0,00;0,03;50,06;224,66;0,13;-0,00;0,03
2021_05_08 03:45:59;50,05;223,55;0,13;-0,00;0,03;50,05;224,82;0,13;-0,00;0,03
2021_05_08 03:46:04;50,06;223,53;0,13;-0,00;0,03;50,06;224,77;0,13;-0,00;0,03
2021_05_08 03:46:09;50,08;223,62;0,13;-0,00;0,03;50,08;224,90;0,13;-0,00;0,03
