TimeStamp;FrequencyInvert3(Hz);VoltageInvert3(V);CurrentInvert3(A);ActivePowerInvert3(W);ReactivePowerInvert3(VAr);FrequencyInvert4(Hz);VoltageInvert4(V);CurrentInvert4(A);ActivePowerInvert4(W);ReactivePowerInvert4(VAr);FrequencyInvert5(Hz);VoltageInvert5(V);CurrentInvert5(A);ActivePowerInvert5(W);ReactivePowerInvert5(VAr);FrequencyInvert6(Hz);VoltageInvert6(V);CurrentInvert6(A);ActivePowerInvert6(W);ReactivePowerInvert6(VAr)
2021_05_08 14:41:39;50,01;227,97;9,51;2,17;0,00;50,01;226,96;9,17;2,08;0,00;50,01;225,76;9,41;2,12;0,00;50,00;227,96;8,95;2,04;0,00
2021_05_08 14:41:44;50,03;228,05;9,52;2,17;0,01;50,03;226,96;9,17;2,08;0,00;50,03;225,85;9,40;2,12;0,01;50,03;227,99;8,94;2,04;-0,00
2021_05_08 14:41:49;50,02;227,87;9,52;2,17;0,01;50,02;226,82;9,16;2,08;0,00;50,02;225,69;9,41;2,12;0,01;50,02;227,83;8,96;2,04;0,01
2021_05_08 14:41:54;50,01;227,95;9,51;2,17;0,00;50,01;226,93;9,17;2,08;0,00;50,01;225,79;9,41;2,12;0,00;50,01;227,98;8,94;2,04;0,00
2021_05_08 14:41:59;50,02;227,97;9,52;2,17;0,00;50,02;226,93;9,17;2,08;0,01;50,02;225,82;9,40;2,12;0,01;50,02;227,91;8,94;2,04;-0,00
2021_05_08 14:42:04;50,02;228,02;9,51;2,17;0,01;50,02;226,96;9,16;2,08;-0,00;50,02;225,81;9,40;2,12;0,00;50,02;228,03;8,94;2,04;0,03
2021_05_08 14:42:09;50,03;229,83;9,45;2,17;0,01;50,03;228,66;9,09;2,08;0,00;50,03;227,32;9,35;2,12;-0,00;50,03;229,80;8,89;2,04;0,00
2021_05_08 14:42:14;50,04;229,76;9,44;2,17;-0,00;50,04;228,65;9,11;2,08;0,00;50,04;227,30;9,34;2,12;0,01;50,04;229,80;8,89;2,04;0,00
2021_05_08 14:42:19;50,03;229,84;9,44;2,17;0,01;50,03;228,74;9,09;2,08;0,00;50,03;227,37;9,34;2,12;0,01;50,03;229,79;8,88;2,04;-0,00
2021_05_08 14:42:24;50,02;229,76;9,45;2,17;0,00;50,02;228,64;9,09;2,08;-0,00;50,02;227,29;9,34;2,12;-0,00;50,02;229,71;8,89;2,04;0,01
2021_05_08 14:42:29;50,02;229,68;9,45;2,17;0,01;50,02;228,52;9,10;2,08;0,00;50,02;227,24;9,35;2,12;0,01;50,02;229,68;8,88;2,04;-0,00
2021_05_08 14:42:34;50,03;229,73;9,46;2,17;-0,00;50,03;228,59;9,11;2,08;0,01;50,03;227,29;9,34;2,12;0,01;50,03;229,71;8,86;2,03;0,01
2021_05_08 14:42:39;50,04;229,71;9,47;2,17;0,01;50,04;228,59;9,10;2,08;0,01;50,04;227,20;9,35;2,12;-0,00;50,04;229,67;8,88;2,04;0,01
2021_05_08 14:42:44;50,04;227,19;9,57;2,17;-0,01;50,04;226,35;9,20;2,08;0,00;50,04;225,32;9,41;2,12;0,01;50,04;227,26;8,98;2,04;0,01
2021_05_08 14:42:49;50,05;227,42;9,56;2,17;-0,00;50,05;226,55;9,17;2,08;-0,01;50,05;225,47;9,42;2,12;0,00;50,05;227,43;8,97;2,04;-0,00
2021_05_08 14:42:54;50,07;227,50;9,55;2,17;0,01;50,07;226,62;9,21;2,08;0,00;50,07;225,53;9,41;2,12;-0,01;50,07;227,44;8,96;2,04;-0,01
